Date,Open,High,Low,Close,Adj Close,Volume
2013-10-21,73.074287,74.900002,73.074287,74.480286,71.506409,99526945
2013-10-22,75.158569,75.492798,72.575714,74.266785,71.301437,133515760
2013-10-23,74.142860,75.095711,74.142860,74.994286,71.999901,78431122
2013-10-24,75.000000,76.067139,74.635712,75.987137,72.953094,96191095
2013-10-25,75.900002,76.175713,75.015717,75.136856,72.136765,84448133
2013-10-28,75.610001,75.857140,74.744286,75.696571,72.674126,137610116
2013-10-29,76.611435,77.035713,73.505714,73.811142,70.863998,158952108
2013-10-30,74.227150,75.360001,73.860001,74.985146,71.991112,88540697
2013-10-31,75.000000,75.355713,74.467148,74.671715,71.690186,68923785
2013-11-01,74.914284,74.971428,73.691429,74.290001,71.323738,68722304
2013-11-04,74.452850,75.260002,74.115715,75.250000,72.245384,61157033
2013-11-05,74.919998,75.555000,74.714287,75.064140,72.066948,66368071
2013-11-06,74.878571,74.980003,74.028572,74.417137,71.549606,55844152
2013-11-07,74.225716,74.741425,73.197144,73.213142,70.391998,65655100
2013-11-08,73.512863,74.447144,73.227150,74.365715,71.500198,69829543
2013-11-11,74.284286,74.524284,73.487137,74.149712,71.292496,56863303
2013-11-12,73.857140,74.845711,73.857140,74.287148,71.424629,51114651
2013-11-13,74.000000,74.607140,73.851433,74.376282,71.510338,49304927
2013-11-14,74.722855,75.611435,74.552856,75.451424,72.544060,70605087
2013-11-15,75.221428,75.584290,74.927139,74.998718,72.108772,79479764
2013-11-18,74.977150,75.312859,74.028572,74.089859,71.234947,61236224
2013-11-19,74.147148,74.768570,73.995712,74.221428,71.361450,52234707
2013-11-20,74.150002,74.345711,73.475716,73.571426,70.736481,48545798
2013-11-21,73.942856,74.458572,73.381424,74.447998,71.579300,65506861
2013-11-22,74.228569,74.594284,74.075722,74.257141,71.395790,55931232
2013-11-25,74.431435,75.124283,74.428574,74.820000,71.936943,57348403
2013-11-26,74.867142,76.591431,74.857140,76.199997,73.263763,100345728
2013-11-27,76.607140,78.000000,76.199997,77.994286,74.988930,90861841
2013-11-29,78.528572,79.761429,78.258568,79.438576,76.377556,79532215
2013-12-02,79.714287,80.618561,78.688576,78.747139,75.712784,118135892
2013-12-03,79.714287,80.911430,79.668571,80.903145,77.785698,112741734
2013-12-04,80.800003,81.312859,80.117142,80.714287,77.604088,94452666
2013-12-05,81.838570,82.162254,80.915710,81.128716,78.002579,111895315
2013-12-06,80.827141,80.964287,79.938576,80.002861,76.920090,86088352
2013-12-09,80.142860,81.368576,80.128571,80.918571,77.800522,80123533
2013-12-10,80.508568,81.125717,80.171425,80.792854,77.679642,69567610
2013-12-11,80.984283,81.567139,79.955711,80.194283,77.104149,89929693
2013-12-12,80.317139,80.762863,80.004288,80.077141,76.991531,65572318
2013-12-13,80.345711,80.411430,79.095711,79.204285,76.152328,83205283
2013-12-16,79.288574,80.376991,79.287148,79.642860,76.573982,70648452
2013-12-17,79.401428,79.919998,79.053574,79.284286,76.229240,57475649
2013-12-18,78.528572,78.778572,76.971428,78.681435,75.649574,141465800
2013-12-19,78.481430,78.571426,77.675728,77.779999,74.782913,80239369
2013-12-20,77.912857,78.801430,77.831070,78.431435,75.409233,109103435
2013-12-23,81.125717,81.531425,80.394287,81.441429,78.303246,125326824
2013-12-24,81.412857,81.697144,80.861435,81.095711,77.970833,41888735
2013-12-26,81.157143,81.357140,80.482285,80.557144,77.453026,51002035
2013-12-27,80.545715,80.629997,79.928574,80.012863,76.929703,56471317
2013-12-30,79.637146,80.012863,78.903000,79.217148,76.164665,63407722
2013-12-31,79.167137,80.182861,79.142860,80.145714,77.057449,55819372
2014-01-02,79.382858,79.575714,78.860146,79.018570,75.973740,58791957
2014-01-03,79.000000,79.099998,77.204285,77.282860,74.304932,98303870
2014-01-06,76.784286,78.114288,76.228569,77.704285,74.710114,103359151
2014-01-07,77.760002,77.994286,76.846428,77.148216,74.175453,79432766
2014-01-08,76.972855,77.937141,76.955711,77.637138,74.645554,64686685
2014-01-09,78.114288,78.122856,76.478584,76.645569,73.692192,69905199
2014-01-10,77.118568,77.257141,75.872856,76.134285,73.200592,76320664
2014-01-13,75.714287,77.500000,75.697144,76.532860,73.583794,94860843
2014-01-14,76.864288,78.104286,76.808571,78.055717,75.047981,83734371
